# DPDAK 1.5.0
# Date: 2025-10-26 23:6:4
# 1 Inputs (1): jg_4nm_au_bs_00001.cbf 
x-Axis_1	Intensity_1	
2.781953E-02	1.217000E+02	
2.822269E-02	1.296000E+02	
2.862586E-02	1.337250E+02	
2.902903E-02	1.308500E+02	
2.943219E-02	1.209500E+02	
2.983535E-02	1.198750E+02	
3.023852E-02	1.245750E+02	
3.064168E-02	1.144000E+02	
3.104485E-02	1.137750E+02	
3.144801E-02	1.148500E+02	
3.185118E-02	1.132250E+02	
3.225434E-02	1.095750E+02	
3.265750E-02	1.128000E+02	
3.306067E-02	1.172500E+02	
3.346383E-02	9.872500E+01	
3.386699E-02	1.004750E+02	
3.427015E-02	1.059000E+02	
3.467331E-02	9.692500E+01	
3.507648E-02	9.440000E+01	
3.547964E-02	9.625000E+01	
3.588280E-02	9.795000E+01	
3.628596E-02	9.907500E+01	
3.668912E-02	9.112500E+01	
3.709228E-02	9.470000E+01	
3.749544E-02	8.870000E+01	
3.789860E-02	9.542500E+01	
3.830176E-02	8.935000E+01	
3.870492E-02	9.197500E+01	
3.910808E-02	9.142500E+01	
3.951123E-02	8.620000E+01	
3.991439E-02	8.682500E+01	
4.031755E-02	8.662500E+01	
4.072071E-02	9.152500E+01	
4.112386E-02	8.262500E+01	
4.152702E-02	8.562500E+01	
4.193018E-02	7.907500E+01	
4.233333E-02	7.862500E+01	
4.273649E-02	8.307500E+01	
4.313964E-02	8.717500E+01	
4.354280E-02	7.875000E+01	
4.394595E-02	8.600000E+01	
4.434910E-02	7.745000E+01	
4.475226E-02	8.670000E+01	
4.515541E-02	7.870000E+01	
4.555856E-02	8.210000E+01	
4.596171E-02	8.277500E+01	
4.636487E-02	7.105000E+01	
4.676802E-02	7.915000E+01	
4.717117E-02	7.777500E+01	
4.757432E-02	7.485000E+01	
4.797747E-02	7.732500E+01	
4.838062E-02	7.710000E+01	
4.878377E-02	7.245000E+01	
4.918691E-02	7.227500E+01	
4.959006E-02	7.537500E+01	
4.999321E-02	7.917500E+01	
5.039636E-02	7.640000E+01	
5.079950E-02	7.527500E+01	
5.120265E-02	7.097500E+01	
5.160579E-02	7.445000E+01	
5.200894E-02	6.952500E+01	
5.241208E-02	6.825000E+01	
5.281523E-02	6.715000E+01	
5.321837E-02	7.155000E+01	
5.362151E-02	6.620000E+01	
5.402466E-02	6.295000E+01	
5.442780E-02	7.587500E+01	
5.483094E-02	6.697500E+01	
5.523408E-02	7.225000E+01	
5.563722E-02	7.197500E+01	
5.604036E-02	7.055000E+01	
5.644350E-02	7.122500E+01	
5.684664E-02	6.917500E+01	
5.724978E-02	7.045000E+01	
5.765291E-02	7.335000E+01	
5.805605E-02	6.530000E+01	
5.845919E-02	6.810000E+01	
5.886232E-02	6.880000E+01	
5.926546E-02	6.602500E+01	
5.966859E-02	6.260000E+01	
6.007173E-02	6.822500E+01	
6.047486E-02	6.717500E+01	
6.087799E-02	6.460000E+01	
6.128112E-02	7.130000E+01	
6.168426E-02	6.825000E+01	
6.208739E-02	6.975000E+01	
6.249052E-02	6.660000E+01	
6.289365E-02	6.607500E+01	
6.329678E-02	6.495000E+01	
6.369990E-02	6.477500E+01	
6.410303E-02	7.095000E+01	
6.450616E-02	6.455000E+01	
6.490929E-02	6.737500E+01	
6.531241E-02	5.702500E+01	
6.571554E-02	6.585000E+01	
6.611866E-02	6.820000E+01	
6.652179E-02	6.357500E+01	
6.692491E-02	6.822500E+01	
6.732803E-02	7.142500E+01	
6.773115E-02	6.500000E+01	
6.813428E-02	7.307500E+01	
6.853740E-02	7.590000E+01	
6.894052E-02	6.952500E+01	
6.934363E-02	6.267500E+01	
6.974675E-02	7.567500E+01	
7.014987E-02	6.552500E+01	
7.055299E-02	6.810000E+01	
7.095610E-02	6.982500E+01	
7.135922E-02	7.420000E+01	
7.176234E-02	7.155000E+01	
7.216545E-02	7.170000E+01	
7.256856E-02	7.080000E+01	
7.297168E-02	6.955000E+01	
7.337479E-02	7.742500E+01	
7.377790E-02	7.272500E+01	
7.418101E-02	7.815000E+01	
7.458412E-02	7.312500E+01	
7.498723E-02	6.877500E+01	
7.539034E-02	5.912500E+01	
7.579345E-02	1.600000E+00	
7.619655E-02	7.000000E-01	
7.659966E-02	1.900000E+00	
7.700276E-02	0.000000E+00	
7.740587E-02	0.000000E+00	
7.780897E-02	0.000000E+00	
7.821208E-02	0.000000E+00	
7.861518E-02	0.000000E+00	
7.901828E-02	0.000000E+00	
7.942138E-02	0.000000E+00	
7.982448E-02	8.187500E+01	
8.022758E-02	8.142500E+01	
8.063068E-02	7.895000E+01	
8.103377E-02	8.290000E+01	
8.143687E-02	8.120000E+01	
8.183997E-02	7.582500E+01	
8.224306E-02	8.812500E+01	
8.264616E-02	8.560000E+01	
8.304925E-02	8.012500E+01	
8.345234E-02	8.570000E+01	
8.385543E-02	8.522500E+01	
8.425852E-02	8.957500E+01	
8.466161E-02	8.707500E+01	
8.506470E-02	8.932500E+01	
8.546779E-02	8.382500E+01	
8.587088E-02	8.667500E+01	
8.627397E-02	8.705000E+01	
8.667705E-02	9.512500E+01	
8.708014E-02	8.775000E+01	
8.748322E-02	8.930000E+01	
8.788630E-02	8.975000E+01	
8.828939E-02	9.180000E+01	
8.869247E-02	9.482500E+01	
8.909555E-02	9.035000E+01	
8.949863E-02	9.970000E+01	
8.990171E-02	9.520000E+01	
9.030478E-02	9.445000E+01	
9.070786E-02	1.032000E+02	
9.111094E-02	9.895000E+01	
9.151401E-02	1.044000E+02	
9.191708E-02	1.044500E+02	
9.232016E-02	9.022500E+01	
9.272323E-02	9.572500E+01	
9.312630E-02	9.682500E+01	
9.352937E-02	9.627500E+01	
9.393244E-02	1.063750E+02	
9.433551E-02	1.006750E+02	
9.473858E-02	9.832500E+01	
9.514164E-02	1.014000E+02	
9.554471E-02	1.045000E+02	
9.594777E-02	9.717500E+01	
9.635084E-02	9.952500E+01	
9.675390E-02	1.001250E+02	
9.715696E-02	1.072250E+02	
9.756002E-02	8.985000E+01	
9.796308E-02	1.021000E+02	
9.836614E-02	9.980000E+01	
9.876920E-02	1.027500E+02	
9.917225E-02	1.006000E+02	
9.957531E-02	9.080000E+01	
9.997837E-02	9.212500E+01	
1.003814E-01	9.432500E+01	
1.007845E-01	8.780000E+01	
1.011875E-01	8.817500E+01	
1.015906E-01	8.587500E+01	
1.019936E-01	8.345000E+01	
1.023967E-01	8.555000E+01	
1.027997E-01	8.670000E+01	
1.032028E-01	8.215000E+01	
1.036058E-01	7.985000E+01	
1.040089E-01	8.070000E+01	
1.044119E-01	7.757500E+01	
1.048149E-01	7.855000E+01	
1.052180E-01	6.922500E+01	
1.056210E-01	6.912500E+01	
1.060241E-01	7.092500E+01	
1.064271E-01	6.422500E+01	
1.068301E-01	6.585000E+01	
1.072332E-01	5.997500E+01	
1.076362E-01	6.472500E+01	
1.080392E-01	6.430000E+01	
1.084423E-01	5.807500E+01	
1.088453E-01	6.215000E+01	
1.092483E-01	5.777500E+01	
1.096514E-01	5.967500E+01	
1.100544E-01	5.740000E+01	
1.104574E-01	5.122500E+01	
1.108604E-01	4.977500E+01	
1.112635E-01	4.972500E+01	
1.116665E-01	4.932500E+01	
1.120695E-01	4.975000E+01	
1.124725E-01	4.307500E+01	
1.128756E-01	4.340000E+01	
1.132786E-01	4.365000E+01	
1.136816E-01	4.057500E+01	
1.140846E-01	4.287500E+01	
1.144876E-01	3.867500E+01	
1.148906E-01	3.997500E+01	
1.152937E-01	4.010000E+01	
1.156967E-01	3.565000E+01	
1.160997E-01	3.580000E+01	
1.165027E-01	4.075000E+01	
1.169057E-01	3.415000E+01	
1.173087E-01	3.002500E+01	
1.177117E-01	2.645000E+01	
1.181147E-01	3.370000E+01	
1.185177E-01	2.630000E+01	
1.189207E-01	3.260000E+01	
1.193237E-01	3.097500E+01	
1.197267E-01	2.240000E+01	
1.201297E-01	2.532500E+01	
1.205327E-01	2.920000E+01	
1.209357E-01	2.107500E+01	
1.213387E-01	2.775000E+01	
1.217417E-01	2.295000E+01	
1.221447E-01	2.255000E+01	
1.225477E-01	2.092500E+01	
1.229507E-01	2.405000E+01	
1.233537E-01	2.185000E+01	
1.237567E-01	2.230000E+01	
1.241597E-01	2.085000E+01	
1.245626E-01	1.987500E+01	
1.249656E-01	2.367500E+01	
1.253686E-01	1.990000E+01	
1.257716E-01	1.982500E+01	
1.261746E-01	2.095000E+01	
1.265776E-01	1.732500E+01	
1.269805E-01	1.527500E+01	
1.273835E-01	1.915000E+01	
1.277865E-01	1.700000E+01	
1.281895E-01	1.740000E+01	
1.285924E-01	1.267500E+01	
1.289954E-01	2.162500E+01	
1.293984E-01	1.520000E+01	
1.298013E-01	1.605000E+01	
1.302043E-01	1.497500E+01	
1.306073E-01	1.522500E+01	
1.310102E-01	1.490000E+01	
1.314132E-01	1.377500E+01	
1.318162E-01	1.510000E+01	
1.322191E-01	1.485000E+01	
1.326221E-01	8.575000E+00	
1.330250E-01	1.057500E+01	
1.334280E-01	1.062500E+01	
1.338310E-01	1.182500E+01	
1.342339E-01	9.775000E+00	
1.346369E-01	1.172500E+01	
1.350398E-01	9.200000E+00	
1.354428E-01	1.195000E+01	
1.358457E-01	1.167500E+01	
